date,description,amount,category
2023-12-20,Taxi,96.0,Transport
2023-12-22,Boulangerie,41.26,Alimentation
2023-12-23,Supermarche Auchan,42.9,Alimentation
2023-12-25,Osteopathe,25.56,Soins
2023-12-25,Boulangerie,132.09,Alimentation
2023-12-27,Casino,26.1,Alimentation
2023-12-28,Eau,295.26,Logement
2023-12-29,Theatre,34.27,Loisirs
2023-12-29,Massage,24.95,Soins
2023-12-29,Musee,71.43,Loisirs
2023-12-31,Courses Lidl,33.05,Alimentation
2023-12-31,Primeur,18.49,Alimentation
2024-01-02,Controle technique,25.64,Transport
2024-01-02,Spotify Premium,5.6,Streaming
2024-01-05,Marche local,39.48,Alimentation
2024-01-06,Bowling,67.92,Loisirs
2024-01-08,Taxe fonciere,78.71,Logement
2024-01-08,Concert,20.06,Loisirs
2024-01-08,Bijouterie,40.19,Shopping
2024-01-08,Formation en ligne,84.23,Education
2024-01-09,Concert,68.75,Loisirs
2024-01-09,Controle technique,89.64,Transport
2024-01-10,Librairie,200.76,Shopping
2024-01-10,Boucherie,16.33,Alimentation
2024-01-10,Livres scolaires,26.68,Education
2024-01-13,Bowling,14.11,Loisirs
2024-01-15,Medecin generaliste,26.34,Soins
2024-01-15,Materiel informatique etudes,156.92,Education
2024-01-16,Parc d'attractions,61.56,Loisirs
2024-01-18,Intermarche,18.32,Alimentation
2024-01-19,Theatre,62.86,Loisirs
2024-01-22,Parking centre-ville,23.22,Transport
2024-01-22,Sephora,71.56,Shopping
2024-01-23,Intermarche,8.47,Alimentation
2024-01-23,Loyer appartement,951.03,Logement
2024-01-29,Controle technique,23.29,Transport
2024-01-30,Courses Carrefour,18.34,Alimentation
2024-01-31,Frais de scolarite,92.43,Education
2024-02-02,Fnac,34.68,Shopping
2024-02-05,Revision voiture,118.69,Transport
2024-02-07,Intermarche,12.22,Alimentation
2024-02-08,Decathlon,41.88,Shopping
2024-02-10,Taxi,106.24,Transport
2024-02-10,Uber,36.28,Transport
2024-02-11,Bowling,43.17,Loisirs
2024-02-13,Intermarche,28.26,Alimentation
2024-02-14,Escape Game,65.65,Loisirs
2024-02-14,Decathlon,69.89,Shopping
2024-02-15,Pharmacie,26.55,Soins
2024-02-15,Sephora,106.85,Shopping
2024-02-17,Livres scolaires,110.32,Education
2024-02-17,Essence Shell,54.03,Transport
2024-02-18,Courses Carrefour,39.74,Alimentation
2024-02-18,Cinema UGC,21.36,Loisirs
2024-02-19,Parking centre-ville,81.31,Transport
2024-02-19,Peage autoroute,13.33,Transport
2024-02-20,Intermarche,69.35,Alimentation
2024-02-21,Opticien,33.53,Soins
2024-02-23,Spotify Premium,17.36,Streaming
2024-02-24,Courses Lidl,108.88,Alimentation
2024-02-24,Controle technique,8.23,Transport
2024-02-24,Essence Shell,53.43,Transport
2024-02-25,Chaussures,87.26,Shopping
2024-02-28,Deezer,12.75,Streaming
2024-02-28,Marche local,9.93,Alimentation
2024-03-01,Taxi,42.13,Transport
2024-03-01,Bowling,56.71,Loisirs
2024-03-04,Electronique,211.5,Shopping
2024-03-05,Massage,37.05,Soins
2024-03-10,Boulangerie,52.39,Alimentation
2024-03-10,Electronique,126.95,Shopping
2024-03-10,Controle technique,40.28,Transport
2024-03-12,Chaussures,19.17,Shopping
2024-03-12,Bijouterie,102.66,Shopping
2024-03-13,Boulangerie,16.36,Alimentation
2024-03-16,Concert,20.7,Loisirs
2024-03-16,Courses Lidl,9.11,Alimentation
2024-03-16,Loyer appartement,287.44,Logement
2024-03-17,YouTube Premium,11.01,Streaming
2024-03-17,Essence Shell,39.6,Transport
2024-03-17,Intermarche,23.01,Alimentation
2024-03-18,Fromagerie,146.09,Alimentation
2024-03-19,Supermarche Auchan,114.99,Alimentation
2024-03-23,Restaurant Le Gourmet,27.79,Loisirs
2024-03-24,Bowling,60.04,Loisirs
2024-03-25,Parc d'attractions,23.36,Loisirs
2024-03-26,Internet SFR,149.86,Logement
2024-03-26,YouTube Premium,5.98,Streaming
2024-03-27,Bricolage Leroy Merlin,242.73,Logement
2024-03-29,Controle technique,18.77,Transport
2024-03-29,Bar entre amis,38.56,Loisirs
2024-04-02,Boucherie,80.01,Alimentation
2024-04-02,Cinema UGC,53.03,Loisirs
2024-04-03,Cours particuliers,82.87,Education
